Name, RA, DE, Redshift, Vlsr, DistMpc, Re, R50, incl, PA, logMstar, logSFR, logOH, AGN
CGCG429-012, 339.20767386, 14.38699880, 0.01746007, 5238.02100000, 75.86498914, 5.32224000, 2.65537304, 68.48739863, -40.83782872, 10.46634324, -1.70503333, NaN, 0.00000000
IC1079, 224.15057780, 9.36979338, 0.02906513, 8719.53900000, 127.42529004, 19.34064000, 9.20044500, 55.50134937, -9.70213309, 11.28240459, -1.59813963, NaN, 0.00000000
IC1528, 1.27229170, -7.09341844, 0.01250595, 3751.78500000, 54.12933518, 16.94880000, 6.11452355, 66.89475667, -18.45233575, 10.47105839, 0.21125767, 8.5512107, 0.00000000
IC1755, 29.29076732, 14.55000051, 0.02615367, 7846.10100000, 114.40542509, 13.49568000, 8.85214182, 78.86817564, 63.89237516, 11.02871820, -0.27437911, 8.5458226, 0.00000000
IC2101, 72.92498270, -6.23063392, 0.01496317, 4488.95100000, 64.88944829, 14.09760000, 8.54280620, 78.96453112, 55.10817003, 10.49975219, 0.52075622, 8.4813599, 0.00000000
IC2341, 125.92263086, 21.43488219, 0.01695027, 5085.08100000, 73.62067054, 7.99524000, 2.66066937, 59.69901780, -36.46209548, 10.69917374, -1.18521325, NaN, 0.00000000
IC3598, 189.33779689, 28.20824336, 0.02546977, 7640.93100000, 111.35525424, 10.89396000, 6.17026273, 66.84073408, 47.82572127, 10.99003749, -0.13017086, 8.533733, 0.00000000
IC5309, 349.79842784, 8.10939412, 0.01353349, 4060.04700000, 58.62395553, 13.30956000, 5.16291675, 56.83522769, -53.84628174, 10.89346398, 0.30704782, 8.5471928, 0.00000000
MCG-01-01-012, 359.79487679, -4.19152649, 0.01882879, 5648.63700000, 81.89921308, 11.19888000, 6.65691212, 77.94909147, -20.33228903, 10.97825295, -0.17737126, NaN, 0.00000000
MCG-01-09-006, 47.20115505, -7.04051146, 0.02890036, 8670.10800000, 126.68694391, 14.19660000, 14.05283297, 76.13226790, -75.01064666, 11.02537285, 0.57057579, 8.5555404, 0.00000000
MCG-01-10-015, 54.66301773, -5.34734947, 0.01342727, 4028.18100000, 58.15900242, 11.76516000, 5.47860722, 73.39927375, -14.92672874, 10.04979785, -0.15961732, 8.5752068, 0.00000000
MCG-01-10-019, 55.17907143, -6.41503307, 0.01745131, 5235.39300000, 75.82640979, 16.65576000, 10.04786635, 59.11464664, -53.91207018, 10.43776665, -0.02400658, 8.5395804, 0.00000000
MCG-01-52-012, 309.45821400, -6.09076913, 0.01270429, 3811.28700000, 54.99635016, 4.47876000, 1.47710600, 41.27904390, -31.95112188, 10.45544953, -1.51886381, NaN, 0.00000000
MCG-02-02-030, 7.53057161, -11.11362947, 0.01178730, 3536.19000000, 50.99008497, 13.86396000, 4.66169190, 70.26630595, 80.38338170, 10.52078603, -0.10009156, 8.5762666, 2.00000000
MCG-02-51-004, 303.91616428, -13.62215191, 0.01875876, 5627.62800000, 81.59016911, 15.80040000, 7.58590846, 69.06924549, 70.12826746, 11.03852744, 0.74908474, 8.5316565, 0.00000000
NGC0001, 1.81603449, 27.70826014, 0.01496272, 4488.81600000, 64.88747402, 9.18324000, 3.12241193, 48.10527364, 13.42315012, 10.88851983, 0.71145086, 8.5796841, 0.00000000
NGC0036, 2.84261621, 6.38949672, 0.01992489, 5977.46700000, 86.74061517, 19.33668000, 12.11592384, 50.55145671, 11.00673822, 11.12472315, 0.45931433, 8.5673275, 0.00000000
NGC0155, 8.66698572, -10.76646147, 0.02053341, 6160.02300000, 89.43188621, 13.54716000, 4.58489818, 35.48493309, 64.49378904, 11.05969005, -1.53423465, NaN, 0.00000000
NGC0169, 9.21552152, 23.99038812, 0.01533800, 4601.40000000, 66.53439914, 19.41984000, 9.40582561, 55.96919354, 10.50134664, 11.19995130, 0.48245346, 8.5822482, 3.00000000
NGC0171, 9.33982247, -19.93420956, 0.01276552, 3829.65600000, 55.26406202, 15.80832000, 7.01321762, 61.89454239, 20.39057516, 10.78837169, -0.10652941, 8.5372435, 0.00000000
NGC0180, 9.49030789, 8.63516467, 0.01742606, 5227.81800000, 75.71521079, 20.19204000, 13.24296481, 51.58542871, 39.51778874, 11.16624268, 0.35035705, 8.5611597, 0.00000000
